School,Gender,Role,citations,earliest_pub
Boston University,Male,Professor,2222,2001
Boston University,Male,Professor,161,2003
Boston University,Male,Professor,13,2004
Brandeis,Male,Professor,95,1961
Brandeis,Male,Professor,1454,1976
Brandeis,Female,Professor,963,1977
Brandeis,Male,Professor,629,1979
Brandeis,Male,Professor,513,1982
Brandeis,Male,Professor,647,1989
Brandeis,Male,Professor,1159,1993
Brandeis,Male,Professor,311,2003
Brown ,Male,Professor,365,1968
Brown ,Male,Professor,1164,1978
Brown ,Male,Professor,5479,1978
Brown ,Male,Professor,679,1982
Brown ,Male,Professor,1837,1983
Brown ,Female,Professor,1284,1985
Brown ,Male,Professor,391,1987
Brown ,Male,Professor,412,1989
Brown ,Male,Professor,1493,1991
Brown ,Male,Professor,190,1991
Brown ,Male,Professor,604,1991
Brown ,Male,Professor,947,1996
Carnegie Mellon,Male,Professor,3503,1968
Carnegie Mellon,Male,Professor,723,1969
Carnegie Mellon,Male,Professor,3486,1974
Carnegie Mellon,Male,Professor,1944,1976
Carnegie Mellon,Male,Professor,5682,1976
Carnegie Mellon,Male,Professor,288,1977
Carnegie Mellon,Male,Professor,537,1981
Carnegie Mellon,Male,Professor,167,1981
Carnegie Mellon,Male,Professor,2088,1982
Carnegie Mellon,Male,Professor,371,1983
Carnegie Mellon,Male,Professor,901,1983
Carnegie Mellon,Female,Professor,2438,1985
Carnegie Mellon,Male,Professor,684,1987
Carnegie Mellon,Male,Professor,854,1989
Carnegie Mellon,Male,Professor,637,1992
Carnegie Mellon,Male,Professor,1007,1992
Carnegie Mellon,Male,Professor,317,1992
Carnegie Mellon,Male,Professor,500,1996
Carnegie Mellon,Male,Professor,281,1998
Carnegie Mellon,Male,Professor,473,2003
Carnegie Mellon,Male,Professor,204,2004
CIT,Male,Professor,3984,1972
CIT,Male,Professor,775,1980
CIT,Male,Professor,712,1981
CIT,Male,Professor,1310,1985
CIT,Male,Professor,518,1986
CIT,Male,Professor,767,1991
CIT,Male,Professor,2102,1991
CIT,Male,Professor,922,1992
CIT,Female,Professor,1064,1993
CIT,Male,Professor,1091,1993
CIT,Male,Professor,521,1996
CIT,Male,Professor,1049,1997
CIT,Female,Professor,68,1998
CIT,Male,Professor,1010,1998
CIT,Male,Professor,1551,2003
CIT,Male,Professor,383,2004
CIT,Male,Professor,545,2006
CIT,Female,Professor,101,2008
CIT,Male,Professor,165,2009
CIT,Male,Professor,59,2010
CIT,Male,Professor,193,2012
CIT,Male,Professor,167,2013
Clemson,Male,Professor,1057,1984
Clemson,Female,Professor,239,1984
Clemson,Male,Professor,583,1986
Clemson,Male,Professor,880,1986
Clemson,Male,Professor,14,1987
Clemson,Male,Professor,348,1988
Clemson,Male,Professor,526,1989
Clemson,Male,Professor,4,1993
Clemson,Male,Professor,258,1995
Clemson,Male,Professor,4,1996
Clemson,Male,Professor,212,1997
Clemson,Female,Professor,300,1997
Clemson,Male,Professor,67,1997
Clemson,Male,Professor,77,1998
Clemson,Male,Professor,57,2000
Clemson,Male,Professor,539,2000
Clemson,Male,Professor,860,2006
Colorado State,Male,Professor,102,1973
Colorado State,Male,Professor,880,1978
Colorado State,Male,Professor,176,1979
Colorado State,Female,Professor,67,1980
Colorado State,Male,Professor,1148,1980
Colorado State,Female,Professor,1011,1982
Colorado State,Male,Professor,2730,1989
Colorado State,Male,Professor,115,1991
Colorado State,Male,Professor,380,1993
Colorado State,Male,Professor,186,1995
Colorado State,Male,Professor,1906,1996
Colorado State,Female,Professor,525,1997
Colorado State,Male,Professor,153,1998
Colorado State,Male,Professor,921,1999
Colorado State,Male,Professor,228,2000
Colorado State,Female,Professor,212,2000
Colorado State,Female,Professor,3,2001
Columbia,Male,Professor,4350,1966
Columbia,Male,Professor,1073,1968
Columbia,Male,Professor,2306,1968
Columbia,Female,Professor,3749,1969
Columbia,Male,Professor,2073,1971
Columbia,Male,Professor,2118,1971
Columbia,Male,Professor,301,1974
Columbia,Male,Professor,1870,1977
Columbia,Male,Professor,6364,1980
Columbia,Male,Professor,1191,1981
Columbia,Male,Professor,972,1982
Columbia,Male,Professor,3908,1982
Columbia,Male,Professor,488,1986
Columbia,Male,Professor,1154,1990
Columbia,Female,Professor,613,1992
Columbia,Male,Professor,495,1992
Columbia,Male,Professor,3362,1994
Columbia,Male,Professor,2461,1995
Columbia,Male,Professor,315,1995
Columbia,Male,Professor,735,1997
Columbia,Male,Professor,1559,2000
Columbia,Male,Professor,1149,2000
Columbia,Female,Professor,614,2001
Columbia,Male,Professor,263,2003
Columbia,Male,Professor,465,2006
Columbia,Male,Professor,1196,2008
Cornell,Male,Professor,503,1956
Cornell,Male,Professor,2084,1960
Cornell,Male,Professor,211,1963
Cornell,Male,Professor,3860,1965
Cornell,Male,Professor,274,1967
Cornell,Male,Professor,743,1970
Cornell,Male,Professor,222,1970
Cornell,Male,Professor,241,1970
Cornell,Male,Professor,1048,1971
Cornell,Male,Professor,785,1976
Cornell,Male,Professor,455,1976
Cornell,Female,Professor,287,1977
Cornell,Male,Professor,4124,1983
Cornell,Male,Professor,654,1983
Cornell,Male,Professor,1036,1983
Cornell,Male,Professor,273,1988
Cornell,Female,Professor,898,1989
Cornell,Male,Professor,736,1989
Cornell,Male,Professor,587,1991
Cornell,Male,Professor,617,1991
Cornell,Male,Professor,215,1992
Cornell,Male,Professor,606,1993
Cornell,Male,Professor,325,1995
Cornell,Male,Professor,1010,1996
Cornell,Male,Professor,668,1996
Cornell,Male,Professor,756,1997
Cornell,Female,Professor,221,1998
Cornell,Male,Professor,249,1999
Cornell,Male,Professor,386,2000
Cornell,Male,Professor,203,2002
Cornell,Male,Professor,343,2003
Cornell,Male,Professor,375,2005
CUNY ,Male,Professor,660,1957
CUNY ,Male,Professor,1710,1958
CUNY ,Male,Professor,477,1962
CUNY ,Male,Professor,480,1964
CUNY ,Male,Professor,4515,1967
CUNY ,Male,Professor,915,1969
CUNY ,Male,Professor,380,1971
CUNY ,Male,Professor,221,1971
CUNY ,Female,Professor,424,1971
CUNY ,Male,Professor,1363,1971
CUNY ,Female,Professor,49,1971
CUNY ,Male,Professor,234,1973
CUNY ,Male,Professor,1211,1975
CUNY ,Male,Professor,648,1978
CUNY ,Male,Professor,380,1978
CUNY ,Male,Professor,179,1978
CUNY ,Male,Professor,336,1979
CUNY ,Female,Professor,452,1979
CUNY ,Male,Professor,331,1980
CUNY ,Male,Professor,162,1980
CUNY ,Female,Professor,828,1981
CUNY ,Male,Professor,2265,1981
CUNY ,Male,Professor,452,1983
CUNY ,Male,Professor,303,1985
CUNY ,Male,Professor,30,1985
CUNY ,Male,Professor,132,1987
CUNY ,Male,Professor,170,1988
CUNY ,Male,Professor,486,1989
CUNY ,Female,Professor,269,1989
CUNY ,Male,Professor,245,1992
CUNY ,Male,Professor,1135,1994
CUNY ,Female,Professor,282,1996
CUNY ,Male,Professor,1019,1997
CUNY ,Male,Professor,191,1998
CUNY ,Male,Professor,156,1998
CUNY ,Male,Professor,663,1999
CUNY ,Male,Professor,365,1999
CUNY ,Male,Professor,156,1999
CUNY ,Male,Professor,122,1999
CUNY ,Male,Professor,141,1999
CUNY ,Male,Professor,82,1999
CUNY ,Male,Professor,62,1999
CUNY ,Male,Professor,221,2000
CUNY ,Male,Professor,256,2000
CUNY ,Male,Professor,215,2000
CUNY ,Male,Professor,98,2000
CUNY ,Male,Professor,410,2000
CUNY ,Male,Professor,139,2000
CUNY ,Male,Professor,130,2000
CUNY ,Male,Professor,129,2000
CUNY ,Female,Professor,22,2000
CUNY ,Male,Professor,126,2001
CUNY ,Male,Professor,31,2001
CUNY ,Male,Professor,158,2002
CUNY ,Male,Professor,257,2002
CUNY ,Male,Professor,501,2004
CUNY ,Male,Professor,23,2004
CUNY ,Male,Professor,215,2004
CUNY ,Female,Professor,170,2005
CUNY ,Male,Professor,29,2006
CWRU,Male,Professor,1195,1964
CWRU,Male,Professor,23,1965
CWRU,Male,Professor,592,1970
CWRU,Male,Professor,961,1976
CWRU,Male,Professor,93,1980
CWRU,Male,Professor,316,1980
CWRU,Male,Professor,637,1980
CWRU,Male,Professor,17,1983
CWRU,Male,Professor,66,1983
CWRU,Male,Professor,1684,1986
CWRU,Female,Professor,1099,1988
CWRU,Female,Professor,273,1991
CWRU,Male,Professor,35,2000
CWRU,Male,Professor,111,2003
CWRU,Female,Professor,228,2005
Dartmouth,Male,Professor,1209,1975
Dartmouth,Female,Professor,1000,1979
Dartmouth,Male,Professor,91,1979
Dartmouth,Male,Professor,94,1979
Dartmouth,Male,Professor,1570,1979
Dartmouth,Female,Professor,70,1981
Dartmouth,Female,Professor,43,1982
Dartmouth,Male,Professor,526,1982
Dartmouth,Male,Professor,262,1983
Dartmouth,Male,Professor,507,1989
Dartmouth,Female,Professor,616,1996
Dartmouth,Male,Professor,152,1997
Dartmouth,Male,Professor,506,1998
Dartmouth,Female,Professor,171,1999
Dartmouth,Male,Professor,471,2003
Drexel,Male,Professor,103,1974
Drexel,Male,Professor,428,1984
Drexel,Male,Professor,609,1987
Drexel,Male,Professor,150,1988
Drexel,Male,Professor,225,1994
Drexel,Male,Professor,1,1995
Drexel,Female,Professor,475,1996
Drexel,Male,Professor,187,1999
Drexel,Male,Professor,271,1999
Drexel,Male,Professor,476,2002
Duke,Male,Professor,7688,1968
Duke,Male,Professor,147,1974
Duke,Male,Professor,4087,1976
Duke,Male,Professor,804,1976
Duke,Female,Professor,6860,1977
Duke,Male,Professor,1637,1978
Duke,Male,Professor,2346,1979
Duke,Male,Professor,2384,1980
Duke,Male,Professor,1494,1982
Duke,Male,Professor,130,1984
Duke,Male,Professor,164,1984
Duke,Male,Professor,342,1985
Duke,Male,Professor,569,1987
Duke,Male,Professor,2364,1990
Duke,Male,Professor,1990,1991
Duke,Male,Professor,136,1991
Duke,Male,Professor,468,1994
Duke,Male,Professor,538,1997
Duke,Male,Professor,1393,1997
Duke,Male,Professor,586,1997
Duke,Male,Professor,216,1998
Duke,Male,Professor,1329,1998
Duke,Male,Professor,249,2000
Duke,Female,Professor,76,2005
Emory University,Male,Professor,670,1968
Emory University,Male,Professor,4404,1973
Emory University,Male,Professor,695,1975
Emory University,Male,Professor,327,1977
Emory University,Female,Professor,304,1985
Emory University,Male,Professor,733,1991
Emory University,Male,Professor,414,1992
Emory University,Male,Professor,249,1993
Emory University,Male,Professor,769,1994
Emory University,Male,Professor,74,1995
FIU,Male,Professor,89,1982
FIU,Male,Professor,47,1984
FIU,Male,Professor,25,1984
FIU,Male,Professor,189,1986
FIU,Male,Professor,330,1987
FIU,Male,Professor,84,1989
FIU,Male,Professor,188,1989
FIU,Male,Professor,316,1990
FIU,Male,Professor,75,1991
FIU,Female,Professor,107,1992
FIU,Female,Professor,19,1992
FIU,Male,Professor,16,1993
FIU,Male,Professor,83,1993
FIU,Male,Professor,140,1994
FIU,Male,Professor,307,1994
FIU,Male,Professor,263,1995
FIU,Male,Professor,1605,1999
FIU,Female,Professor,498,2002
Florida State Universty,Male,Professor,179,1969
Florida State Universty,Male,Professor,2491,1971
Florida State Universty,Male,Professor,479,1978
Florida State Universty,Male,Professor,218,1982
Florida State Universty,Male,Professor,52,1982
Florida State Universty,Male,Professor,113,1984
Florida State Universty,Male,Professor,323,1985
Florida State Universty,Male,Professor,291,1986
Florida State Universty,Male,Professor,198,1986
Florida State Universty,Male,Professor,325,1986
Florida State Universty,Male,Professor,548,1987
Florida State Universty,Male,Professor,304,1989
Florida State Universty,Male,Professor,58,1990
Florida State Universty,Male,Professor,82,1993
Florida State Universty,Male,Professor,416,1994
Florida State Universty,Male,Professor,1758,1994
Florida State Universty,Male,Professor,196,1998
Florida State Universty,Male,Professor,132,1999
Florida State Universty,Female,Professor,22,1999
Florida State Universty,Female,Professor,170,1999
Florida State Universty,Male,Professor,122,2003
George Washington University,Male,Professor,405,1971
George Washington University,Male,Professor,285,1971
George Washington University,Male,Professor,1431,1978
George Washington University,Female,Professor,414,1981
George Washington University,Male,Professor,254,1983
George Washington University,Male,Professor,29,1985
George Washington University,Male,Professor,385,1985
George Washington University,Male,Professor,217,1986
George Washington University,Male,Professor,219,1989
George Washington University,Male,Professor,1225,1993
Georgia Tech,Male,Professor,1157,1970
Georgia Tech,Male,Professor,1078,1978
Georgia Tech,Male,Professor,1795,1980
Georgia Tech,Male,Professor,2250,1982
Georgia Tech,Male,Professor,2392,1984
Georgia Tech,Male,Professor,804,1986
Georgia Tech,Male,Professor,3285,1986
Georgia Tech,Male,Professor,1981,1987
Georgia Tech,Male,Professor,1037,1988
Georgia Tech,Male,Professor,631,1988
Georgia Tech,Male,Professor,1614,1989
Georgia Tech,Male,Professor,752,1989
Georgia Tech,Female,Professor,202,1990
Georgia Tech,Female,Professor,159,1990
Georgia Tech,Male,Professor,859,1990
Georgia Tech,Male,Professor,1145,1990
Georgia Tech,Male,Professor,188,1993
Georgia Tech,Male,Professor,432,1994
Georgia Tech,Male,Professor,740,1994
Georgia Tech,Male,Professor,1369,1996
Georgia Tech,Male,Professor,12,1997
Georgia Tech,Male,Professor,292,1997
Georgia Tech,Male,Professor,272,1998
Georgia Tech,Male,Professor,1148,1999
Georgia Tech,Male,Professor,209,1999
Georgia Tech,Male,Professor,256,1999
Georgia Tech,Female,Professor,18,2000
Georgia Tech,Male,Professor,243,2001
Georgia Tech,Male,Professor,390,2001
Georgia Tech,Male,Professor,218,2002
Georgia Tech,Male,Professor,870,2002
Harvard,Male,Professor,4452,1959
Harvard,Male,Professor,2340,1965
Harvard,Male,Professor,1340,1967
Harvard,Male,Professor,14245,1970
Harvard,Male,Professor,1308,1976
Harvard,Male,Professor,9404,1977
Harvard,Male,Professor,2775,1978
Harvard,Male,Professor,2170,1981
Harvard,Male,Professor,826,1981
Harvard,Male,Professor,1600,1984
Harvard,Male,Professor,3086,1984
Harvard,Male,Professor,1242,1986
Harvard,Male,Professor,4055,1986
Harvard,Male,Professor,1011,1989
Harvard,Male,Professor,992,1994
Harvard,Male,Professor,1123,1995
Harvard,Female,Professor,782,1996
Harvard,Male,Professor,739,1996
Harvard,Male,Professor,776,1998
Indiana Bloomington,Male,Professor,18553,1965
Indiana Bloomington,Male,Professor,733,1972
Indiana Bloomington,Male,Professor,1726,1974
Indiana Bloomington,Male,Professor,3604,1975
Indiana Bloomington,Female,Professor,69,1979
Indiana Bloomington,Male,Professor,449,1982
Indiana Bloomington,Male,Professor,227,1982
Indiana Bloomington,Male,Professor,285,1982
Indiana Bloomington,Male,Professor,217,1983
Indiana Bloomington,Male,Professor,379,1984
Indiana Bloomington,Male,Professor,401,1984
Indiana Bloomington,Male,Professor,479,1985
Indiana Bloomington,Male,Professor,1612,1986
Indiana Bloomington,Male,Professor,545,1987
Indiana Bloomington,Male,Professor,716,1988
Indiana Bloomington,Male,Professor,1402,1988
Indiana Bloomington,Male,Professor,830,1988
Indiana Bloomington,Male,Professor,128,1988
Indiana Bloomington,Male,Professor,1821,1989
Indiana Bloomington,Male,Professor,3659,1990
Indiana Bloomington,Female,Professor,16,1992
Indiana Bloomington,Female,Professor,56,1992
Indiana Bloomington,Male,Professor,234,1993
Indiana Bloomington,Male,Professor,275,1994
Indiana Bloomington,Male,Professor,1131,1995
Indiana Bloomington,Male,Professor,412,1996
Indiana Bloomington,Male,Professor,117,1997
Indiana Bloomington,Male,Professor,923,2000
Indiana Bloomington,Male,Professor,352,2004
Johns Hopkins,Male,Professor,692,1971
Johns Hopkins,Male,Professor,4297,1971
Johns Hopkins,Male,Professor,731,1972
Johns Hopkins,Male,Professor,3493,1985
Johns Hopkins,Male,Professor,603,1987
Johns Hopkins,Male,Professor,1447,1989
Johns Hopkins,Female,Professor,354,1992
Johns Hopkins,Female,Professor,102,1996
Johns Hopkins,Male,Professor,202,1998
Johns Hopkins,Male,Professor,366,2000
Johns Hopkins,Male,Professor,192,2000
Johns Hopkins,Male,Professor,1469,2004
Johns Hopkins,Male,Professor,105,2006
Mississippi State University,Male,Professor,519,1975
Mississippi State University,Male,Professor,709,1976
Mississippi State University,Male,Professor,747,1986
Mississippi State University,Male,Professor,493,1987
Mississippi State University,Male,Professor,296,1988
Mississippi State University,Male,Professor,172,1990
Mississippi State University,Male,Professor,179,1994
MIT,Male,Professor,4066,1959
MIT,Male,Professor,20,1962
MIT,Male,Professor,5822,1962
MIT,Male,Professor,9323,1965
MIT,Male,Professor,10332,1967
MIT,Male,Professor,3084,1975
MIT,Male,Professor,588,1975
MIT,Male,Professor,3305,1976
MIT,Male,Professor,1420,1976
MIT,Male,Professor,2214,1976
MIT,Male,Professor,375,1977
MIT,Male,Professor,635,1977
MIT,Male,Professor,2339,1982
MIT,Male,Professor,1375,1985
MIT,Male,Professor,1729,1987
MIT,Male,Professor,4527,1987
MIT,Male,Professor,1583,1988
MIT,Male,Professor,1641,1989
MIT,Female,Professor,100,1990
MIT,Male,Professor,1138,1990
MIT,Male,Professor,908,1994
MIT,Male,Professor,1489,1994
MIT,Female,Professor,2312,1995
MIT,Male,Professor,2856,1995
MIT,Male,Professor,41,1995
MIT,Male,Professor,2739,1995
MIT,Male,Professor,1713,1996
MIT,Female,Professor,31,1998
MIT,Male,Professor,1417,1998
MIT,Male,Professor,2510,1998
MIT,Female,Professor,134,1999
MIT,Male,Professor,140,2000
MIT,Male,Professor,321,2001
MIT,Male,Professor,708,2001
MIT,Male,Professor,506,2002
MIT,Male,Professor,16,2002
MIT,Male,Professor,1764,2002
MIT,Male,Professor,667,2005
MIT,Male,Professor,40,2005
MIT,Male,Professor,414,2008
MIT,Male,Professor,179,2009
Montana State University,Male,Professor,281,1978
Montana State University,Male,Professor,287,1987
Montana State University,Male,Professor,198,1987
Montana State University,Male,Professor,324,1991
Montana State University,Male,Professor,2,1992
Montana State University,Female,Professor,58,1998
Montana State University,Female,Professor,17,2003
Montana State University,Male,Professor,6,2004
Northeastern,Male,Professor,89,1961
Northeastern,Male,Professor,30,1967
Northeastern,Male,Professor,932,1971
Northeastern,Female,Professor,879,1974
Northeastern,Male,Professor,260,1975
Northeastern,Male,Professor,530,1976
Northeastern,Male,Professor,535,1977
Northeastern,Male,Professor,33,1979
Northeastern,Female,Professor,818,1979
Northeastern,Male,Professor,428,1980
Northeastern,Male,Professor,87,1981
Northeastern,Male,Professor,787,1981
Northeastern,Male,Professor,975,1984
Northeastern,Male,Professor,300,1986
Northeastern,Male,Professor,30,1991
Northeastern,Male,Professor,196,1992
Northeastern,Male,Professor,236,1994
Northeastern,Male,Professor,730,1994
Northeastern,Female,Professor,187,2001
Northeastern,Male,Professor,466,2005
Northwestern,Male,Professor,803,1960
Northwestern,Male,Professor,212,1975
Northwestern,Male,Professor,2571,1981
Northwestern,Male,Professor,650,1983
Northwestern,Male,Professor,2216,1983
Northwestern,Male,Professor,1050,1983
Northwestern,Male,Professor,830,1983
Northwestern,Male,Professor,413,1989
Northwestern,Male,Professor,1064,1993
Northwestern,Female,Professor,647,1995
Northwestern,Male,Professor,301,1995
Northwestern,Male,Professor,460,1995
Northwestern,Male,Professor,645,1999
Northwestern,Female,Professor,281,2001
Northwestern,Male,Professor,908,2004
Northwestern,Male,Professor,680,2007
Northwestern,Male,Professor,360,2008
NYU,Male,Professor,382,1955
NYU,Male,Professor,4889,1962
NYU,Male,Professor,5117,1966
NYU,Male,Professor,5741,1967
NYU,Male,Professor,12380,1967
NYU,Male,Professor,1036,1969
NYU,Male,Professor,1009,1969
NYU,Male,Professor,940,1971
NYU,Male,Professor,2295,1971
NYU,Male,Professor,9762,1973
NYU,Male,Professor,311,1973
NYU,Male,Professor,3661,1973
NYU,Male,Professor,406,1973
NYU,Male,Professor,4247,1974
NYU,Male,Professor,5264,1975
NYU,Male,Professor,5128,1976
NYU,Female,Professor,3060,1977
NYU,Male,Professor,1950,1978
NYU,Male,Professor,1715,1979
NYU,Female,Professor,1181,1980
NYU,Male,Professor,276,1980
NYU,Male,Professor,82,1981
NYU,Male,Professor,6570,1981
NYU,Male,Professor,1633,1982
NYU,Male,Professor,3223,1982
NYU,Male,Professor,1634,1982
NYU,Male,Professor,1042,1983
NYU,Male,Professor,2284,1983
NYU,Male,Professor,5142,1983
NYU,Male,Professor,156,1984
NYU,Male,Professor,973,1985
NYU,Male,Professor,400,1986
NYU,Male,Professor,639,1986
NYU,Male,Professor,230,1986
NYU,Male,Professor,1303,1988
NYU,Male,Professor,3148,1988
NYU,Male,Professor,1722,1989
NYU,Male,Professor,526,1991
NYU,Male,Professor,636,1992
NYU,Male,Professor,242,1997
NYU,Male,Professor,4019,1997
NYU,Female,Professor,185,1998
NYU,Male,Professor,29,1998
NYU,Male,Professor,1541,1998
NYU,Male,Professor,214,1999
NYU,Male,Professor,20,1999
NYU,Male,Professor,272,2000
NYU,Male,Professor,21,2002
NYU,Male,Professor,14,2002
NYU,Male,Professor,501,2003
NYU,Male,Professor,32,2004
NYU,Male,Professor,743,2005
NYU,Male,Professor,585,2006
Ohio State,Male,Professor,126,1955
Ohio State,Male,Professor,10377,1956
Ohio State,Male,Professor,1169,1964
Ohio State,Male,Professor,253,1970
Ohio State,Female,Professor,968,1970
Ohio State,Male,Professor,2882,1971
Ohio State,Male,Professor,1743,1972
Ohio State,Male,Professor,527,1975
Ohio State,Male,Professor,231,1978
Ohio State,Male,Professor,744,1980
Ohio State,Male,Professor,449,1981
Ohio State,Male,Professor,703,1981
Ohio State,Male,Professor,665,1982
Ohio State,Male,Professor,417,1982
Ohio State,Male,Professor,67,1983
Ohio State,Male,Professor,133,1983
Ohio State,Male,Professor,1528,1984
Ohio State,Male,Professor,43,1984
Ohio State,Male,Professor,687,1985
Ohio State,Male,Professor,351,1985
Ohio State,Male,Professor,670,1986
Ohio State,Male,Professor,628,1988
Ohio State,Male,Professor,614,1989
Ohio State,Male,Professor,411,1989
Ohio State,Male,Professor,832,1989
Ohio State,Male,Professor,22,1990
Ohio State,Male,Professor,241,1991
Ohio State,Male,Professor,475,1991
Ohio State,Male,Professor,222,1991
Ohio State,Male,Professor,632,1993
Ohio State,Male,Professor,2672,1994
Ohio State,Male,Professor,735,1994
Ohio State,Male,Professor,416,1995
Ohio State,Male,Professor,101,1996
Ohio State,Male,Professor,204,1996
Ohio State,Male,Professor,126,1999
Ohio State,Male,Professor,541,1999
Ohio State,Male,Professor,255,2000
Ohio State,Male,Professor,2549,2001
Ohio State,Male,Professor,182,2002
Ohio State,Female,Professor,42,2003
Ohio State,Male,Professor,510,2005
Ohio State,Male,Professor,2,2014
Penn State,Male,Professor,8432,1961
Penn State,Male,Professor,1384,1963
Penn State,Male,Professor,1125,1968
Penn State,Male,Professor,2408,1970
Penn State,Male,Professor,868,1972
Penn State,Male,Professor,1445,1973
Penn State,Male,Professor,3015,1973
Penn State,Female,Professor,728,1974
Penn State,Male,Professor,883,1974
Penn State,Male,Professor,4709,1978
Penn State,Male,Professor,531,1978
Penn State,Female,Professor,517,1980
Penn State,Male,Professor,455,1980
Penn State,Male,Professor,704,1980
Penn State,Male,Professor,1377,1982
Penn State,Male,Professor,281,1983
Penn State,Male,Professor,240,1984
Penn State,Male,Professor,1413,1984
Penn State,Male,Professor,5263,1985
Penn State,Male,Professor,1926,1986
Penn State,Male,Professor,10,1987
Penn State,Male,Professor,1679,1988
Penn State,Male,Professor,1984,1989
Penn State,Female,Professor,150,1990
Penn State,Male,Professor,403,1991
Penn State,Male,Professor,1136,1991
Penn State,Male,Professor,51,1992
Penn State,Male,Professor,901,1993
Penn State,Male,Professor,227,1994
Penn State,Female,Professor,230,1996
Penn State,Female,Professor,165,1997
Penn State,Male,Professor,288,1997
Penn State,Female,Professor,406,1999
Penn State,Female,Professor,59,2000
Penn State,Female,Professor,510,2000
Penn State,Male,Professor,16,2001
Penn State,Male,Professor,519,2002
Penn State,Female,Professor,131,2003
Penn State,Male,Professor,392,2003
Penn State,Male,Professor,6,2005
Penn State,Male,Professor,333,2006
Penn State,Male,Professor,222,2007
Princeton,Male,Professor,1177,1955
Princeton,Male,Professor,5076,1959
Princeton,Male,Professor,3876,1966
Princeton,Male,Professor,6173,1967
Princeton,Male,Professor,6386,1973
Princeton,Male,Professor,2464,1973
Princeton,Female,Professor,2133,1974
Princeton,Male,Professor,2748,1975
Princeton,Male,Professor,4112,1977
Princeton,Male,Professor,5951,1978
Princeton,Male,Professor,1903,1980
Princeton,Male,Professor,5504,1980
Princeton,Male,Professor,11041,1981
Princeton,Male,Professor,5866,1981
Princeton,Male,Professor,4269,1984
Princeton,Male,Professor,700,1989
Princeton,Male,Professor,3724,1990
Princeton,Male,Professor,1168,1991
Princeton,Male,Professor,3771,1994
Princeton,Male,Professor,1918,1995
