,name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
34,jeff graham,susquehanna university,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
35,whitney george,university of wisconsin la crosse,,,2012,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
36,joanna wares,university of richmond,301,9,2008,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
37,bahar acu,northwestern university,,,2017,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
38,katrina piatek jimenez,central michigan university,75,4,,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
39,jennifer bowen,college of wooster,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
40,jill shahverdian,quinnipiac university,,,2003,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
41,ksenija simic muller,pacific lutheran university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
42,courtney r gibbons,hamilton college,,,2013,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
43,david clark,grand valley state university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
44,maeve l mccarthy,murray state university,,,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
45,kyle petersen,depaul university,669,14,,A Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
46,yousuf george,nazareth college,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
47,quinn a morris,appalachian state university,,,2017,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
48,amy ksir,united states naval academy,,,2009,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
49,priscilla bremser,middlebury college,71,4,1984,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
50,melanie pivarski,roosevelt university,,,2006,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
51,robert davis,colgate university,,,2015,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
52,amy wehe,fitchburg state university,,,2005,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
53,margaret morrow,suny plattsburgh,,,1994,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
54,mark branson,stevenson university,,,2010,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
55,stephanie salomone,university of portland,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
56,gabriel sosa castillo,colgate university,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
57,jennifer danae berg,fitchburg state university,,,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
58,iian smythe,rutgers university,,,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
59,federico ardila,san francisco state university,1204,19,2003,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,TRUE,,FALSE
60,erica shannon,pierce college,,,2016,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
61,susan d'agostino,,,,2003,A Only,woman,nothighered,,,,,,,,FALSE,,FALSE
62,everett howe,,852,16,1993,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
63,carol schumacher,kenyon college,,,1989,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
64,kathi crow,salem state university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
65,shelby m scott,university of tennessee,4,1,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,other,other ,FALSE,,FALSE
66,robin t wilson,cal poly pomona,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
67,anthony bonato,ryerson university,2031,20,1998,A Only,man,highered,international,moreri,canada,professor,moresecure,math,mathstat,FALSE,,FALSE
68,kelly black,university of georgia,,,1992,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
69,dylan poulsen,washington college,58,5,2015,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
70,marissa kawehi loving,georgia institute of technology,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
71,nina white,university of michigan,46,4,2012,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
72,robert w vallin,lamar university,166,6,1991,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
73,yemeen ayub,george mason university,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
74,rebecca rg,george mason university,,,2016,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
75,ami radunskaya,pomona college,1999,14,1992,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,TRUE,,FALSE
76,bruce yoshiwara,los angeles pierce college,,,1988,A Only,man,highered,domesticother,lessri,,retired,moresecure,math,mathstat,FALSE,,FALSE
77,henry adams,colorado state university,653,12,2013,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
78,jacqueline a hall,longwood university,,,,A Only,woman,highered,domesticother,lessri,,retired,moresecure,math,mathstat,FALSE,,FALSE
79,therese shelton,southwestern university,,,1987,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
80,joe moeller,university of california riverside,19,3,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
81,erika roldan,ohio state university,5,1,2018,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
82,diego a robayo bargans,universidad de los andes,,,,A Only,man,highered,international,moreri,colombia,,,math,mathstat,FALSE,,FALSE
83,david murrugarra,university of kentucky,320,9,2012,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
84,amy parrott,university of wisconsin oshkosh,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
85,marla williams,university of nebraska,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
86,alison lynch,california state university monterey bay,57,3,2015,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
87,edgar fuller,florida international university,,,,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,5,FALSE
88,sarah griffith,brown university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
89,kathryn leonard,occidental college,428,6,,A Only,woman,highered,domesticother,lessri,,professor,moresecure,comp,other ,FALSE,,FALSE
90,kate owens,college of charleston,5,2,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
91,kay kirkpatrick,university of illinois,340,8,2007,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
92,tyler chen,university of washington,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
93,sara l uckelman,durham university,277,11,,A Only,woman,highered,international,moreri,united kingdom,assistant,lesssecure,other,other ,FALSE,,FALSE
94,emerald stacy,washington college,,,2018,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
95,christopher duffy,university of saskatchewan,31,3,2015,A Only,man,highered,international,moreri,canada,assistant,lesssecure,math,mathstat,FALSE,,FALSE
96,sang il oum,institute for basic science kaist,1899,19,2005,A Only,man,highered,international,moreri,,professor,moresecure,math,mathstat,FALSE,,FALSE
97,christopher yakes,salem state university,,,2005,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
98,gulden karakok,university of northern colorado,,,2009,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
99,timothy e goldberg,lenoirrhyne university,,,1984,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
100,erin meger,ryerson university,,,2008,A Only,woman,highered,international,moreri,canada,grad,lesssecure,math,mathstat,FALSE,,FALSE
101,emily winn,brown university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
102,christopher hanusa,queens college of cuny,216,9,2005,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
103,volker ecke,westfield state university,,,2003,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
104,matthew g jones,california state university dominguez hills,36,3,2005,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
105,jen mei chang,california state university long beach,401,12,2008,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
106,natalia garcia colin,sociedad matematica mexicana,38,4,,A Only,woman,highered,international,moreri,mexico,,,,,FALSE,,FALSE
107,matthew cathey,wofford college,,,2006,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
108,david desjardins,mit corporation,,,,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
109,erin wolf chambers,saint louis university,,,,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,comp,other ,FALSE,,FALSE
110,lior pachter,california institute of technology,67694,65,1999,A Only,man,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
111,jessalyn bolkema,harvey mudd college,9,1,2018,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
112,amy velchoff,texas state university,,,,A Only,woman,highered,domesticr2,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
113,milos savic,university of oklahoma,118,7,2012,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
114,darren glass,gettysburg college,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
115,justin lanier,georgia institute of technology,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
116,cynthia wyels,california state university channel islands,,,1994,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
117,emilie hancock,central washington university,,,2018,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
118,brandy s wiegers,central washington university,46,3,2008,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
119,andrew bernoff,harvey mudd college,2118,27,2011,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
120,blake farman,lafayette college,3,1,2018,A Only,man,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
121,jessie oehrlein,columbia university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
122,m drew lamar,college of william and mary,352,9,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,other,other ,FALSE,,FALSE
123,sue vanhattum,contra costa college,,,,A Only,woman,highered,domesticother,lessri,,,,math,mathstat,FALSE,,FALSE
124,vicki lynn holmes,hope college,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,mathed,mathed,FALSE,,FALSE
125,phong le,goucher college,,,2009,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
126,robert t jantzen,villanova university,2439,27,1978,A Only,man,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
127,suzanne sindi,university of california merced,845,13,2006,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
128,elizabeth kersey,university of northern colorado,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,mathed,mathed,FALSE,,FALSE
129,neha gupta,georgia institute of technology,,,2012,A Only,woman,highered,domesticr1,moreri,,,,math,mathstat,FALSE,,FALSE
130,danielle champney,cal poly san luis obispo,,,2013,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
131,jonas d'andrea,westminster college utah,,,2008,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
132,janine wittwer,westminster college utah,,,2000,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
133,carolyn james,university of portland,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
134,john zobitz,augsburg university,413,8,2007,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
135,christine von renesse,westfield state university,,,2007,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
136,andrew schaffner,cal poly san luis obispo,1662,11,,A Only,man,highered,domesticother,lessri,,professor,moresecure,stat,mathstat,FALSE,,FALSE
137,mario banuelos,california state university fresno,49,4,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
138,vikram kamat,villanova university,,,2011,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
139,matthew ando,university of illinois,996,16,1992,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,301,FALSE
140,renzo cavalieri,colorado state university,,,2005,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,204,FALSE
141,hannah highlander,university of portland,178,6,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
142,yan zhuang,davidson college,,,2018,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
143,nicholas battista,college of new jersey,87,6,2017,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
144,anne m ho,university of tennessee,5,1,2015,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,0,FALSE
145,matthias beck,san francisco state university,2606,26,2000,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
146,aaron weinberg,ithaca college,660,10,2005,A Only,man,highered,domesticother,lessri,,professor,moresecure,mathed,mathed,FALSE,,FALSE
147,malena espanol,arizona state university,180,5,2009,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
148,alexander halperin,salisbury university,,,2014,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
149,bradley elliott,emory university,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
150,jonathan j white,coe college,,,2002,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
151,peter chi,villanova university,,,2013,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
152,jess ellis hagman,colorado state university,385,10,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
153,christopher r lee,university of portland,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
154,peter muller,villanova university,,,2014,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
155,amzi jeffs,university of washington,35,4,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
156,sarah bryant,dickinson college,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
157,rachel skipper,ohio state university,10,1,2018,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
158,chloe urbanski wawrzyniak,rutgers university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
159,cory colbert,washington and lee university,,,2017,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
160,eduardo dueez,university of texas at san antonio,216,8,,A Only,man,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
161,susan goldstine,st marys college of maryland,,,1998,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
162,martha shott,sonoma state university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
163,maddie schroth glanz,cal poly san luis obispo,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,stat,mathstat,FALSE,,FALSE
164,lorraine franco,gwinnett county public schools,,,,A Only,woman,nothighered,,,,,,,,FALSE,,FALSE
165,matthew k voigt,university of california san diego,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,mathed,mathed,FALSE,,FALSE
166,michael t schultz,utah state university,,,2002,A Only,man,highered,domesticr2,lessri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
167,corrine yap,rutgers university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
168,andrä_ä__s r vindas melä_ä__ndez,university of kentucky,4,1,1986,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
169,lily khadjavi,loyola marymount university,,,1999,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
170,rebecca swanson,colorado school of mines,67,2,2010,A Only,woman,highered,domesticr2,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
171,erin r moss,millersville university,,,,A Only,woman,highered,domesticother,lessri,,associate,moresecure,mathed,mathed,FALSE,,FALSE
172,jaclyn anderson,university of nebraska omaha,,,2006,A Only,woman,,domesticr2,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
173,ziva myer,duke university,,,2017,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
174,meredith sargent,university of arkansas,,,2018,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
175,rebecca santorella,brown university,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
176,elizabeth gross,university of hawaii at manoa,336,12,2013,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,stat,mathstat,FALSE,,FALSE
177,rachel vale,portland state university,,,,A Only,woman,highered,domesticr2,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
178,leonardo javier rodriguez gutierrez,university of illinois,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
179,erin angelini,university of washington,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
180,marta civil,university of arizona,,,1990,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,,FALSE
181,emilie wiesner,ithaca college,368,10,2005,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
182,xiao xiao,utica college,,,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
183,michael vischak,kinkaid school,,,,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
184,k g valente,colgate university,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
185,martha precup,washington university in st louis,,,,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
186,christian jah,university of goettingen,21,3,,A Only,man,highered,international,moreri,germany,,,math,mathstat,FALSE,,FALSE
187,cristina runnalls,cal poly pomona,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,mathed,mathed,FALSE,,FALSE
188,andrea arauza rivera,california state university east bay,,,,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
189,dave kung,st marys college of maryland,,,,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
190,lisa bromberg,springfield college,,,2015,A Only,woman,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
191,anna haensch,duquesne university,,,2013,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
192,elizabeth thoren,pepperdine university,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
193,mike tait,villanova university,178,26,,A Only,man,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
194,josh laison,willamette university,181,7,,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
195,amanda knecht,villanova university,24,3,2007,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
196,jodi mcwhirter,washington university in st louis,,,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
197,benjamin dickman,hewitt school,35,3,2014,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
198,priya v prasad,university of texas at san antonio,1,1,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
199,moira mcdermott,syracuse university,63,4,1996,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
200,rosalyn lapier,university of montana,42,3,,A Only,woman,highered,domesticr2,lessri,,associate,moresecure,other,other ,FALSE,,FALSE
201,michael lacey,georgia institute of technology,4532,31,1987,A Only,man,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,TRUE,1978,FALSE
202,xander faber,ida center for computing analysis,,,2008,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
203,john golden,grand valley state university,,,1997,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
204,debra k borkovitz,boston university,,,1992,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,math,mathstat,FALSE,0,FALSE
205,maria g martinez,arizona state university,,,1998,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
206,dave jensen,university of kentucky,,,,A Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
207,alexandra newlon,colgate university,,,,A Only,woman,highered,domesticother,lessri,,undergrad,lesssecure,math,mathstat,FALSE,,FALSE
